Symbol,Date,Time,Close,Open,High,Low,Volume,Amount,MatchItem,Interest
SH600018,20140905,93000,4.82,4.82,4.82,4.8,921618,4440053,264,0
SH600018,20140905,93100,4.8,4.8,4.82,4.8,162717,782616,66,0
SH600018,20140905,93200,4.81,4.8,4.81,4.8,176618,848990,64,0
SH600018,20140905,93300,4.82,4.8,4.82,4.8,538502,2588633,133,0
SH600018,20140905,93400,4.81,4.81,4.82,4.8,437798,2106145,100,0
SH600018,20140905,93500,4.81,4.82,4.82,4.81,461135,2219497,104,0
SH600018,20140905,93600,4.83,4.81,4.83,4.8,426818,2055420,151,0
SH600018,20140905,93700,4.84,4.81,4.84,4.81,710499,3428821,155,0
SH600018,20140905,93800,4.84,4.83,4.85,4.81,1259819,6096062,200,0
SH600018,20140905,93900,4.84,4.83,4.84,4.83,339544,1643158,120,0
SH600018,20140905,94000,4.83,4.84,4.84,4.83,265100,1281657,125,0
SH600018,20140905,94100,4.83,4.84,4.84,4.83,274939,1329373,116,0
SH600018,20140905,94200,4.82,4.83,4.83,4.82,330367,1594978,105,0
SH600018,20140905,94300,4.83,4.82,4.83,4.82,381334,1841341,82,0
SH600018,20140905,94400,4.82,4.83,4.84,4.82,415584,2007504,80,0
SH600018,20140905,94500,4.83,4.82,4.84,4.82,438600,2118122,105,0
SH600018,20140905,94600,4.83,4.83,4.83,4.82,124500,600890,56,0
SH600018,20140905,94700,4.85,4.82,4.85,4.82,1200237,5804582,285,0
SH600018,20140905,94800,4.83,4.85,4.85,4.83,164500,796512,83,0
SH600018,20140905,94900,4.83,4.84,4.84,4.83,147717,713841,54,0
SH600018,20140905,95000,4.83,4.83,4.83,4.82,184265,889777,62,0
SH600018,20140905,95100,4.83,4.83,4.83,4.82,290918,1404624,101,0
SH600018,20140905,95200,4.83,4.82,4.83,4.82,411917,1989176,120,0
SH600018,20140905,95300,4.83,4.83,4.84,4.82,289318,1397215,64,0
SH600018,20140905,95400,4.83,4.83,4.84,4.82,146618,708169,56,0
