Symbol,Date,Time,Close,Open,High,Low,Volume,Amount,MatchItem,Interest
SZ300276,20150429,93000,17.8,17.56,17.8,17.4,128102,2254185,125,0
SZ300276,20150429,93100,17.86,17.79,17.86,17.77,94320,1678190,70,0
SZ300276,20150429,93200,17.95,17.88,17.95,17.85,102700,1835444,77,0
SZ300276,20150429,93300,18.04,17.95,18.04,17.95,117300,2109882,119,0
SZ300276,20150429,93400,18.15,18.05,18.16,18.0,177700,3219321,152,0
SZ300276,20150429,93500,18.0,18.01,18.12,18.0,109200,1967887,103,0
SZ300276,20150429,93600,17.95,18.0,18.0,17.95,86100,1548074,76,0
SZ300276,20150429,93700,17.95,17.98,18.09,17.95,84200,1514393,84,0
SZ300276,20150429,93800,18.09,17.96,18.13,17.96,106300,1923804,77,0
SZ300276,20150429,93900,18.12,18.1,18.14,18.05,117300,2124961,138,0
SZ300276,20150429,94000,18.18,18.14,18.18,18.14,116800,2120495,123,0
SZ300276,20150429,94100,18.3,18.17,18.35,18.17,136322,2485938,155,0
SZ300276,20150429,94200,18.46,18.36,18.5,18.36,238900,4407326,196,0
SZ300276,20150429,94300,18.55,18.46,18.6,18.44,293157,5435993,289,0
SZ300276,20150429,94400,18.37,18.55,18.55,18.37,138043,2550820,124,0
SZ300276,20150429,94500,18.32,18.39,18.39,18.28,98300,1802621,100,0
SZ300276,20150429,94600,18.37,18.33,18.38,18.3,80400,1474191,84,0
SZ300276,20150429,94700,18.45,18.38,18.48,18.38,73701,1358854,96,0
SZ300276,20150429,94800,18.45,18.48,18.48,18.42,120700,2229743,124,0
SZ300276,20150429,94900,18.42,18.42,18.45,18.42,44800,825891,65,0
SZ300276,20150429,95000,18.5,18.44,18.5,18.43,110600,2041669,95,0
SZ300276,20150429,95100,18.6,18.51,18.6,18.51,141057,2617074,178,0
SZ300276,20150429,95200,18.75,18.6,18.77,18.6,263400,4913188,190,0
SZ300276,20150429,95300,18.85,18.75,18.85,18.75,247600,4653439,200,0
SZ300276,20150429,95400,18.87,18.85,18.95,18.82,288700,5446366,247,0
SZ300276,20150429,95500,18.81,18.84,18.94,18.8,123248,2322989,137,0
SZ300276,20150429,95600,18.76,18.81,18.81,18.75,155252,2915630,130,0
SZ300276,20150429,95700,18.81,18.74,18.82,18.7,181948,3415271,129,0
SZ300276,20150429,95800,19.1,18.82,19.21,18.81,636500,12078461,495,0
